Nom|Prénoms|naissance|décès|Nation|Diocèse|Collège d'études|année de référence|Collège du premier poste|Fonction du premier poste|1ère année attestée du 1er poste|date ultime attestée du 1er poste|Collège du deuxième poste|Fonction du deuxième poste|1ère date attestée du deuxième poste|date ultime attestée du deuxième poste|Collège du troisème poste|Fonction du troisième poste|1ère date attestée du troisième poste|Date ultime attestée du troisième poste|Autres informations|Premier grade connu|Second grade connu|Ordre sacré|Bénéfices|Engagement janséniste|Serment civique|Fonctions universitaires|Publications|Référence de la source 1|Référence de la source 2|Référence de la source 3|Autres références de source
Dair (ou Daire, D’aire)||||Picardie|||1775|Mazarin|sous maître|1775|1785|Mazarin|professeur|1786|1790||||||||||||||H/3/2835|H/3/2754/A-B|| La France littéraire 1769 pour un Jean Daire
Dair (ou Daire, D'aire)|aîné|||Picardie|||1737|Mazarin|professeur de 6e|1737|1738|Mazarin|professeur de 4e|1738|1755|||||||licencié en théologie||chapelain du collège de 1763 à 1785|||||H/3/2835|H/3/2834|MJSF414|
Daireaux|Bon Jacques|||Normandie|||1774|Grassins|professeur de 6e|1774|1774|Grassins|professeur de 5e|1777|1777|||||Agrégé de belles lettres, mais il accepte un poste en 5e. |||Diacre en 1777||||||MSJF469|||
Daireaux|Nicolas François Charles|1759|1836|Normandie|Coutances|Cardinal Lemoine puis Harcourt |1773|Harcourt|professeur de rhétorique|||Harcourt|principal des boursiers puis proviseur 1791-1794|1784|1791|Charlemagne|proviseur|1811|1815|Né à Gatteville (Manche), neveu du principal des Grassins, il a fait ses études au collège du Cardinal Lemoine puis à Harcourt. Lauréat du concours général de rhétorique, agrégé de lettres en 1773. Il est successivement maître d'études au collège d'Harcourt, professeur de rhétorique, principal des boursiers de 1784 à 1791 principal en titre de 1791 à 1793 dans ce collège. En 1794 il se retire à Louviers et devient administrateur de l'hospice, juge, membre du directoire de l'Eure, participe à la création de l'école centrale de l'Eure. De 1811 à 1815 il est proviseur du Lycée Charlemagne à Paris. Représentant de l'Eure à la Chambre pendant les 100 jours, il est suspendu de ses fonctions de proviseur à la Restauration, placé d'office en inactivité. Sa pension est liquidée en 1820. Il écrit alors dans des journaux fidèles à la Révolution : La Boussole, La Révolution, La Tribune. Décédé à Cherbourg.|licencié en théologie||||||censeur 1764||H/3/2563|H/3/2597|H/3/2754/A-B|Archives biographiques françaises.
Daireaux|Pierre François|||Normandie|||1739|Grassins |Coadjuteur|1739|1739|Grassins|principal|1741|1771||||||docteur en théologie||prêtre||||||916363|H/3/2761|H/3/2760 et H/3/*/2597|
Dancel||||Normandie|||1786||professeur de philosophie|1790|1790|Harcourt|professeur de logique|1791|1791|||||Agrégé sans poste de 1786 à 1788 . ||||||insermenté|||H/3/2563|H/3/2597|H/3/2754/A-B|
Danet|Pierre|||||boursier de La Marche|1662|Grassins|professeur|1662|1662|Grassins|professeur d'humanités|1673|1673|||||||||||||Dictionarium novum latinum et gallicum, ad usum Delphini; Dictionarium antiquitatum romanorum et graecarum, in usum serenissimi Delpini; Dictionarium linguae latinae, in singulae voces suis radicibus subjiciuntur; Magnum dictionarium latinum et gallicum, ad usum delphini...; Ses ouvrages connaissent de nombreuses réeditions et traductions.|M3313|||
Danger|Jean||||||1706|Mazarin|professeur de 6e|1706|1726|||||||||Il est présenté comme ancien professeur de Mazarin en 1739.|||||classé janséniste||||H/3/2830|H/3/2829|H/3/2828|H/3/2827
Daniel|||||||1652|Navarre|professeur d'humanités|1652|1652||||||||||||||||recteur 1619||Reg 27|||
Daragon|Jean-Baptiste|||Picardie|Amiens ||1765|Montaigu|professeur de 3e|1763|1765|Montaigu|professeur|1768|1768||professeur de philosophie ou de rhétorique|1786|1787|||||||||Précis de la vie de M. de la Vigne, 1er médecin de la reine; Lettre à M. l’abbé... sur la nécessité et la manière de faire entrer un cours de morale dans l’éducation publique; Discours prélininaire et notes sur le droit public de France de M. Fleury…|916363|H/3/2754/A-B|MSJF 414|La France littéraire 1778
Dargessiau|||1672||||1672||professeur|||||||||||décédé en 1672|||||||||M3313|||
Darnal de La Deveze|Guillaume Victor|1736||France|Alais||1760|Laon|professeur de philosophie|1760|1760|||||||||||bachelier en théologie|diacre||||||M3316|||
Darolles (ou  Darrollé, Darolé)|Guillaume Nicolas||||Paris||1705|Bourgogne|professeur de philosophie|1705|1705|||||||||||Docteur en théologie en 1717|clerc puis prêtre||||||M3314|U253||
Darolles (ou  Darrollé, Darolé)|Hercule Mériadec||1738|France|||1728|||||||||||||1777|licencié en théologie de Navarre||||appelant||||M3315|||
Darroy|François||||||1691|Montaigu|professeur de philosophie|1691|1691||||||||||||||||||Jourdain |||
Dartignole|Joseph|||France|Autun||1712||||||||||||||||prêtre||||||M3314|||
David|Nicolas  Joseph|||Normandie|Bayeux|boursier de Harcourt en 1726 |1735|Lisieux|professeur de grammaire|1735|1745||||||||| P||bachelier en théologie en 1744|acolyte en 1727|cure (identification incertaine)|||||H/3/*/2597|H/3/*/2818||
Davoigneau (D’)|Jean Baptiste|1721||France|Sens||1746||||||||||||||bachelier en théologie||sous-diacre en 1746, prêtre en 1747|curé congruiste en 1747|||||M3316|||
De Bacq|Antoine||1751|Picardie|Amiens||1702|Mazarin|professeur de philosophie|1702|1726|Cardinal- Lemoine|principal|1732|1751|||||Il devient principal du Cardinal-Lemoine en pleine répression du second janséniste.|licencié en théologie, socius de la Sorbonne||prêtre||||Recteur en 1708-1709||Jourdain|Arsenal 10294|M3314|H/3/2829, H/3/2830, H/3/2827
De Hanot|||||||1652|Harcourt|professeur|1652|1652||||||||||||||||recteur 1666-1667||Reg 27|||
De La Caille|Nicolas Louis||1762|France|Reims||1739|Mazarin|professeur de mathématiques|1739|1762|||||||||Membre des académies des sciences de Paris et de Berlin. Guérin, un collègue, est son exécuteur testamentaire. |||prêtre|||||Éléments d'algèbre et de géométrie ; Leçons élémentaires de mécanique ; Leçons élémentaires d'astronomie, géométrie et physique. |h/3/2834|h/3/2835|H/3/2833|La France littéraire 1757
De La Mare|||||||1652|Lisieux|régent|1652|1652||||||||||||||||||Reg 27|||
De Loeuvre (de L'oeuvre)|Jacques|1621||Normandie|Coutances|boursier de Harcourt |1670||professeur d'éloquence|||Lombards|principal|||Harcourt|principal|1670|1677|Il est destitué en 1677, et devient précepteur de la famille Baudoin et professeur en province.||||||||Une édition de Plaute, collection Ad Usum Delphini; un panégyrique de Pierre Padet.|Lerosey, 1906, t. 24, p. 37.|||
De Sarte (ou Sartre)|||||||1652|Plessis|professeur de philosophie|1652|1652||||||||||||||||||Reg 27|Jourdain||
De Vaux|||||||1791|Navarre|professeur de physique|1791|1791|||||||||Nommé à la place de Varin en 1791.|||||||||H/3/2563 (VI)|||
Decoussy|Mathurin Charles|1750||France|Paris (Ville)||1777|Lisieux|professeur de seconde|1777|1791|||||||||Agrégé de lettres en 1773, sans poste connu jusqu'en 1777. |||clerc||||||MSJF 469|M3317|H3 2663 (VI)|
Dehault|Claude|||France|Châlons/ Marne||1668|La Marche|professeur d'humanités|1668|1697|||||||||Il a cessé d'enseigner avant 1717; il a enseigné pendant 34 ans à La Marche.|bachelier en théologie||Prêtre 1705|||||Traduction de Georges Lyttelton, La religion chrétienne démontrée.|U253|M3313|M3314|
Delagarde|||||||1791|Louis-Le-Grand|professeur de 6e|1791|1791|||||||||Naissance en 1768 ou 1769. |||||||||H/3/2563 (VI)|||
Delahaye|Guillaume Marie|||France|Paris (Ville)||1778|||||||||||||Il demande une régence en 1778 mais l'agrégation n'est pas mentionnée.|bachelier en théologie||Prêtre||||procureur 1695||M3318|||
Delaplace (de La Place)||||Picardie||boursier de Louis-le-Grand|1786|Louis-Le-Grand|professeur de 6e|1788|1791|Louis-Le-Grand|professeur de 3e|1791|1791|Louis-Le-Grand|professeur de seconde|1792|1795|Naissance vers 1758. Agrégé sans poste de 1786 à 1788, nommé professeur le 6/10/88. En 1802 il est à l'école de Panthéon. Selon G. Dupont Ferrier aurait eu sa place en seconde à 25 ans et ne serait officiellement nommé qu'en 1791, en 3e.|||||||||H/3/2563|H/3/2754/A-B|Dupont-Ferrier|
Delaune (ou L’aulne) |Gilles François|1729||France|Paris (Ville)||1754|Navarre|professeur de 5e|1754|1754|Navarre|professeur d'humanités|1757|1770|||||Il cesse enseignement le 25 octobre 1770. Un de Laune est boursier du collège de Reims en 1748.|bachelier en théologie|licencié en droit|prêtre 1762|un prieuré et un canonicat|||||M3316|U255|M3317|U25
Deletré (ou Delestré)|Charles louis Albert|||Picardie|Arras (Ville)|Montaigu en 6e en 1761, Louis le grand en 1vet en 1768.|1773|Cardinal-Lemoine|professeur de 4e|1773|1777||professeur d'humanités|1786|1790|||||Lauréat du concours général. Agrégé de belles lettres. Décédé après 1797.|||Prêtre 1777||||||H/3/2754/A-B|MSJF419|carton 26|
Delille (De Lisle; De Lille)|Jacques|1738|1813|France|Clermont- Ferrand ||1766|ville d'Amiens|professeur d'humanités|1766|1766|La Marche|professeur d'humanités|1772|1775|Collège. Royal|poésie latine|1778|1813|Enfant naturel d'origine modeste, il fait ses études au collège. de Lisieux, agrégé de belles lettres.  Il mène une brillante carrière et devient un auteur connu et entre à l'Académie française en 1774. Il est parallèlement le secrétaire de Choiseul Gouffier, ambassadeur à Constantinople. Emprisonné sous la Terreur, il se réfugie en Suisse ; à son retour en France en 1802 il intègre à nouveau l'Institut. Hostile aux idées de la Révolution.||||||||Traducteur des Géorgiques.|S7057|Dictionnaire des lettres françaises.|La France littéraire 1778.|U25 
Delneuf|Jacques Denis Louis|1731||France|Paris||1760|Montaigu|professeur de 6e|1760|1760|Montaigu|professeur de 4e|1765|1775|||||||licencié en droit|prêtre||||procureur 1750|Mémoire du sieur Delneuf, receveur de l'université de Paris, présenté le 14 juillet 1791 au comité ecclésiastique de l'Assemblée Constituante sur la question de savoir s'il était obligé de prêter le serment des fonctionnaires ecclésiastiques ; Observations des officiers généraux de l'université de Paris présentées au département de Paris et à l'Assemblée nationale.|M3316|U37(3)|M3317|MSJF 414 
Delneuf|Jean|1727||France|Paris||1751|Montaigu|professeur de philosophie|1758|1790|||||||||Procureur de sa nation en 1784. Décédé après 1797.|bachelier en théologie||prêtre 1766|chapellenie en 1766|||receveur université et Recteur 1784-1786, puis mars-mai 1791||U37(3)|M3316|M3318|U25 ; M3317 ; 916 363; H/3/2754/A-B; MSJF 414; Jourdain ; carton 26
Delort  de  Savignan  de  Valvus|Constantin  Henri|||France|Bourges||1713|Cornouaille|professeur de philosophie|1713|1713||||||||||||clerc||||||M3314|||
Demanson|||||||1791|Lisieux|professeur de logique|1791|1791|||||||||Sans doute Nommé à la place de Legrand, réfractaire.|||||||||H/3/2563 (VI)|||
Demeure|Guillaume|||France|Vienne||1732|Autun|proviseur|1734|1753||||||||||bachelier en droit||prêtre en 1734||||||M3315|H/3/2567/A||
Demunair|||||||1664|Lisieux|professeur de philosophie|1664|1666||||||||||||||||||M3313|||
Denise|Louis  Tranquille|||France|Paris (Ville)||1702|Navarre|professeur de 6e|1702|1718|||||||1716|1737|Il a cessé d'enseigner en 1733 et l'on précise qu'il a enseigné pendant 16 ans.|||clerc 1703, prêtre 1719|chapellenies||||Supplément de fables du 1er livre de Phèdre omises dans Mr de La Fontaine ; Les fables de Phèdre en vers François, avec une édition latine à côté et des notes.|U253|U254|M3314|BHVP2258
Denise (ou Denyse)|Jean|||France|Tours||1706|Beauvais?|professeur de philosophie|||Montaigu|professeur de philosophie|1706|1717|||||Décédé avant 1723.|||||||||M3314|M3320|U253|H/3/1597 
Denoux|Denis Pierre|1734||France|Paris (Ville)||1758|||||||||||||Aucune ancienne fonction enseignante n’est indiquée. En 1791 il devient premier vicaire métropolitain de ND, il abdique fin 1793, se marie en 1797, divorce en 1803 et demande sa réconciliation avec l'Église. |licencié en droit||sous-diacre|une chapelle à St Séverin, sans revenus, la cure de la Madeleine en la cité (1085£) en 1764-1791.||jureur|||M3316|Dainville-Barbiche|U25|Pisani; Almanach royal
Denys||||France|Sens||1663|Grassins|professeur de philosophie|1663|1663||||||||||||||||||M3313|||
Des Authieux|Jean|||Normandie|Rouen||1687|Harcourt|vice principal|1687|1696|Harcourt|professeur de 5e|1695|1695|Harcourt|professeur de 3e|1709|1719|Il est encore professeur en 1719 mais c’est sa dernière année.|0||||||examinateur baccalauréat 1760|2 odes dédicacées en latin|CART N|REG 10|H/3/*/2597|
Des Chasteaux|Jean  Baptiste|||France|Léon||1712||||||||||||||bachelier en théologie|docteur en théologie en 1717|clerc||||||M3314|U253||
Des Forges (ou Desforges)|François (Louis François)||1814|France|Paris (Ville)||1744|||||||||||||Naissance vers 1714. Jureur, il abdique en 1793; arrêté puis libéré, il se rétracte en 1797 mais ne reprend pas ses fonctions. |licencié en droit||prêtre en 1746|2 chapelles;  la cure de St Sauveur (4975 livres), où il était 1er vicaire et y était entré en 1746.||jureur|questeur Recteur 1707-1708 puis 1721-1723 et 1734-1736 Syndic et doyen||M3315|Dainville-Barbiche|| La France littéraire 1769 : un Desforges est chanoine d’Étampes auteur de Avantages du mariage
Des Haillel|François Claude Marie|||France|||1734|Bourgogne|professeur de philosophie|1734|1734||||||||||||||||||M3315|||
Des Landes|Jacques||||||1703|Lisieux|fonction indéterminée|1703|1703||||||||||||prêtre 1703||||||M3314|||
Des Landes|Léonard||1696|Normandie|Bayeux||1687|Harcourt|professeur d'humanités|1687|1687|Harcourt|professeur de rhétorique|1691|1691||||||||||||questeur 1696|aucune|REG 10|REG83||
Des Malles (ou Desmalles)||1711||France|Clermont- Ferrand||1755|Beauvais|professeur de 6e puis d'humanités|1755|1764|Louis-Le-Grand|professeur de seconde|1764|1774||||||||||||questeur 1691 procureur 1705|aucune|M3316|U255|U37(3)|Dupont-Ferrier; MSJF 414; 916 363 ; M3317
Des Manes|Pierre||||||1714|Dainville|professeur de philosophie|1714|1714||||||||||||||||||M3314|||
Des Mereys |François|||France|Paris||1709||régent||||||||||||||||||||M3314|||
Des Moulins|Jean|||France|Paris||1673|Ste Barbe|professeur de philosophie|1673|1673|||||||||||||Cure de St Jacques du Haut Pas de 1704 à 1735|||procureur 1658 recteur 1659 et 1664-1666 Censeur 1675||M3313|||
Des Plasses|Jean Baptiste|1727||France|Paris (Ville)||1749|Sées|professeur de philosophie|1749|1749||||||||||||sous-diacre|Un Desplasses est chanoine de Notre-Dame de 1766 à 1780 et archidiacre de Brie de 1771à 1780.|||||M3316|||
Des Verneys|Pierre|||France|Langres||1703||||||||||||||bachelier en théologie||||||||M3314|U253 ||
Des Vignes||||France|Le Mans||1673|Grassins|professeur de philosophie|1673|1673||||||||||bachelier en théologie||||||||M3313|||
Desaubeir|||||||1652|Harcourt|professeur de philosophie|1652|1652||||||||||||||||||Reg 27|||
Desbarras|Joseph|||France|Lectoure||1711||||||||||||||licencié en théologie||prêtre||||||M3314|||
Descodindes Dupuis|Jean Joseph|1750||France|Sens (Ville)||1778|||||||||||||Agrégé de grammaire en 1778.|||clerc|||||||M3318||
Desmarets|Pierre||1760|France|Paris||1714|Dainville|professeur de philosophie|1714|1714|Mazarin|bibliothécaire|1722|1760|||||||docteur en théologie en 1737|acolyte||||||M3320|U254 ||
Desmonts|Jacques||||||1611|Montaigu|principal|1611|1613||||||||||||||||||Compère|||
Despériers|Jacques||1684||||1642|Lisieux|principal|1642|1684|Lisieux|professeur de philosophie|1652|1652||professeur de théologie|1664|1664|Dénoncé comme cumulant les revenus dans un factum contre les docteurs professeurs de théologie.|docteur en théologie|||Chanoine et chefcier de la cathédrale de Lisieux.|||||Compère|Jourdain|Reg 27|
Desplaces|Antoine|||France|Paris||1620|Lisieux|régent|1620|1620|La Marche|professeur|1627|1627||||||||||||||Jourdain|||
Despreaux|André Jean Baptiste|||France|Paris (Ville)||1729||||||||||||||||||||||M3315|||
Despreaux|Antoine|||Picardie|||1771|Montaigu|professeur de philosophie|1771|1771|La Marche|professeur de philosophie|1776|1776|||||Agrégé de philosophie en 1771. |licencié en théologie||Prêtre||||||MSJF 414|||
Desprez|Joseph Étienne Gaudérique|1723||France|Elne||1745|Laon|professeur de philosophie|1745|1745|||||||||||docteur en théologie et socius de la Sorbonne en 1752|sous-diacre 1745 prêtre 1752||||||M3316|||
Desprez|Louis|||France|Paris||1660|Cardinal-Lemoine|professeur d'humanités|1660|1670|Cardinal-Lemoine|professeur de rhétorique|1675|1675||||||||prêtre en 1705|||||Commentaire et annotation de Horace ; Opera in usum Delphini.|M3313|M3314||
Desres (ou Desrez)|Louis Pierre|1734||Normandie|Coutances?|Navarre en 1ère en 1754|1764|Grassins|professeur de seconde|1764|1777||professeur émérite |1786|1790|||||Mention au concours général. Décédé après 1797.|||||||||916363|H/3/*/2597|MSJF 414|carton 26
Desreuil|Guillaume|||France|Paris||1709||||||||||||||bachelier en théologie||||||||M3314|||
Dessiay|Nicolas||||||1701|Montaigu|professeur de philosophie|1701|1701||||||||||||||||||M3314|||
Devault (ou de Vault)|François Julien|||France|Le Mans||1743|Le Mans|principal|1748|1748||||||||||bachelier en théologie|docteur en théologie en 1749|clerc 1739, diacre 1743, prêtre 1749|prieuré|||||M3315|M3316||
Devaux||||Picardie|||1627|Cardinal-Lemoine|principal|1627|1627||||||||||||||||||Jourdain|||
Diegast|Michel Jacques Charles|1726|||||1753||||||||||||||bachelier en théologie|||||||Dissertation spéculative et pratique sur la confiance et la crainte.|M3316|||
Dierain (ou Dirain)|||||||1753|Navarre|professeur de rhétorique|1753|1753||||||||||||||||||M3316|||
Digaultray de Lanvéac (D'ygaultray)|François Michel Hyacinthe|||France|Saint- Brieuc|Il finit sa philosophie au collège de Narbonne|1724|||||||||||||Inspecteur du collège de Mazarin de 1756 à 1761. Serait en relation avec une dame selon ses adversaires vers 1740.||docteur en théologie|acolyte en 1724|Un Digaultray est chanoine de la Ste chapelle de 1744 à 1780.|adversaire des jansénistes||||M3315|U254 |BA 10294|
Donnery|||||||1745|Mazarin|sous maître|1745|1746||||||||||||||||||H/3/2833|||
Dorey (Doré)|Jean Claude|||France|Besançon||1738||||||||||||||bachelier en théologie|docteur en théologie  en 1775|prêtre||||||M3315|U25||
Dorigny|||||||1652|Grassins|régent|1652|1652||||||||||||||||||Reg 27|||
Dossier|Jean|||Normandie|Coutances||1617|Harcourt|professeur de grammaire|||Harcourt|professeur d'humanités|1617|1617||||||||||||||Jourdain|||
Douceur|Louis||1761|France|Paris (Ville)|Plessis|1717|Trésorier|professeur de philosophie|1717|1717|||||||||Un Douceur a en 1714 un prix au Plessis en 5e (accessit). ||docteur en théologie en 1737|clerc en 1717, prêtre ensuite|vicaire de Saint-Germain-le-Vieux|janséniste mais pas appelant ouvertement||||M3314|U254|Nécrologue des appelants|
Douterleau|Jean|||France|Paris (Ville)||1721|Justice|professeur de philosophie|1721|1721||||||||||||clerc|||||Speculum eloquentiae.|M3314|||
Douvau (ou Douveau)|Michel-Jacques||1765||||1753|Mazarin|sous maître|1753|1765||||||||||||||||||H/3/2834|H/3/2833|arno : constitution de tontine 1761|
Doye|Jean|||France|||1664|Navarre|principal des artiens|1664|1675|Navarre|professeur de philosophie|1671|1671||||||licencié en théologie||||||Questeur de la nation||M 3313|||
Drillet de Vermamprat|Jean Baptiste|1727||France|Périgueux||1751||||||||||||||bachelier en théologie||||||||M3316|||
Dromgold|Jean|||Allemagne|Irlandais||1742|Navarre|professeur de rhétorique|1742|1742|||||||||Gentilhomme de M. le comte de Clermont et ci-devant professeur de rhétorique de Navarre entre 1757 et 1769.|||clerc|||||"Charles et Vilcourt, idylle nouvelle ; Avis aux vivans au sujet de quelques morts ; La Gaieté, poème ; Imitation de l'ode anglaise, "" An ode to the Cardinal de Fleury."""|M3315|U255|arno : constitution de tontine en 1761 et constitution de rente sur les États des Flandres.|La France littéraire 1757 et 1769
Du Bacq|Louis Claude Antoine|||France|Sens |Montaigu en 6e en 1770, en 1e en 1777.|1783|||||||||||||Lauréat du concours général, agrégé sans poste. Né à Étampes.|||||||||M3318|||
Du Baisson|François Bernard André|||France|Paris||1730||||||||||||||licencié en droit||||||||M3315|||
Du Bosc|Jean Baptiste|||Normandie|Rouen (Ville)?|Boursier du collège de Justice, il a fait ses études au collège du Cardinal-Lemoine en 1ère en 1749. |1756|Lisieux|professeur de 3e|1756|1776|||||||||Lauréat du concours général.  ||||||||Une ode dédicacée en latin.|916363|H/3/*/2597|MSJF 414|
Du Boulay|César Égasse|||France|Tours||1652|Navarre|professeur|||Presles|professeur|||||||Recteur et historien de l'université. Il est difficile de distinguer les deux frères Du Boulay  en ce qui concerne les postes enseignants au collège de Navarre. Exerce autour de 1650. Décédé avant 1696.|||||||recteur 1653|Carlomagnalia, seu feria conceptivae Caroli magni in scholes parisiensis observande ; De decanatu nationis gallicanae ; Historia universitatis parisiensis ; Trésor des antiquités romaines où sont contenues et décrites toutes les cérémonies des Romains ; Factum ou remarques sur l'élection des officiers de l'Université de Paris ; Factum ou remarques sur les bedeaux ; Mémoire historique sur les bénéfices qui sont à la présentation et collation de l'Université. |M3313|jourdain|reg 27 Sorbonne|
Du Boulay|Pierre  Égasse||1700|France|Tours||1652|Navarre|professeur de 5e puis d'humanités et de rhétorique|1652|1665|||||||||Il est en 1688 doyen de la tribu de Tours.Il est difficile de distinguer les deux frères Du Boulay  en ce qui concerne les postes enseignants au collège de Navarre.||||cure dans le diocèse du Mans 1663||||Edition de Gemmae poetarum ex Ovidio, Catullo, Propertio et Tibullo; diverses autres odes.|M3313|M3314|reg 27 Sorbonne|
Du Breuil|||||||1652|Cardinal-Lemoine|professeur de philosophie|1652|1652||||||||||||||||recteur 1600||Reg 27|Jourdain||
Du Chesne|||||||1652|Plessis|régent|1652|1652||||||||||||||||||Reg 27|M3313||
Du Chevreul|Jacques||1649|||Harcourt boursier|1623|Harcourt|principal et professeur de philosophie|1623|1649|Collège Royal|professeur de philosophie|1647|1649|||||Disciple et ami de Pierre Padet.|bachelier en théologie|||boursier d'Harcourt/ possède en 1632 une chapellenie qui lui est contestée.|||Recteur oct. 1622-mars 1623|Traité sur l'immortalité de l'âme.|Bouquet|Jourdain||
Du Clos|Jacques|1721||France|Paris (Ville)||1746||||||||||||||bachelier en théologie|docteur en théologie|prêtre 47|chapellenie en 1748|||||M3316|U37||
Du Costé|||||||1695||professeur de philosophie|1695|1695||||||||||||||||||M3314|||
Du Fanay|Jean|||France|Clermont- Ferrand||1703|Cornouaille|professeur de philosophie|1703|1703||||||||||||||||||M3314|||
Du Franc|François|||France|Paris||1713||professeur de philosophie|1713|1713|||||||||||docteur en théologie en 1737|||||||M3320|U254||
Du Gard|Charles  Louis|||France|Paris (Ville)||1701|||||||||||||Selon La France littéraire (1769), un Charles Louis Dugard, docteur en théologie et chanoine de Notre-Dame, décédé en 1755, est l'auteur d'une Épître sur les pédants de société, mais il était né en Picardie d'après cette source.|bachelier en théologie||clerc 1700,1708|chanoine? (identification incertaine)|||||M3314|REG 82||
Du Mans|Jean   Michel|||France|Rennes||1708|Bayeux|professeur de philosophie|1708|1708||||||||||||clerc||||||M3314|||
Du May (ou Dumay)|Julien Marie|1746|1779|France|Quimper (Ville)||1769|Mazarin|professeur de philosophie|1772|1779|||||||||Agrégé de philosophie en 1769, commence à enseigner en 1772. |licencié en théologie||acolyte||||||M3317|MSJF419|U25|
Du Menil|Jacques|||France|Le Mans||1720|Le Mans|professeur de philosophie|1742|1742||||||||||bachelier en droit||prêtre 1720||||||M3314|M3315||
Du Mesnil|||||||1652|Grassins|professeur de philosophie|1652|1652||||||||||||||||||Reg 27|Jourdain||
Du Metz|||1676||||1675|Cardinal-Lemoine|principal|1675|1676|||||||||M. Boulogne, docteur de la Sorbonne est son exécuteur testamentaire et perçoit son dernier quartier en 1676.|||||||||M 3321|||
Du Monstier (ou Dumonstier)|François||||||1644|Navarre|professeur d'humanités|1644|1644|Collège Royal|professeur de philosophie|1646|1661|Grassins|principal|1659|1663|Défenseur de l'Université contre les jésuites, accusé de jansénisme, il existe une lettre de l'archevêque de Sens le défendant en 1659 (Mazarine A 15176).|gradué en théologie||prêtre||||recteur 1644||Mazarine A 15176|||
Du Pauce|François André|||France|Nevers||1728||||||||||||||bachelier en théologie||||||||M3315|||
Du Plessis  D’argentré|Charles|||France|Rennes||1696|Dainville|professeur de philosophie|1696|1696||||||||||bachelier en théologie|||||||La mort de Caton (tragédie)|M3314|||
Du Plessis D’argentré|Louis Charles|1722||France|Rennes (Ville)||1745|Boissy|professeur de philosophie|1745|1745||||||||||||acolyte||||||M3316|||
Du Val|||||||1652|Beauvais|professeur|1652|1652||||||||||||||||||Reg 27|||
Du Vinier (Vivier)|Louis|||France|Paris||1672|Reims|professeur de philosophie|1672|1672||||||||||bachelier en théologie||||||||M3313|||
Dubertrand|||1694||||1768|Navarre|principal|1768|1794||||||||||licencié en théologie|||cure (identification incertaine)||oui en 1791|||H/3/2563 (VI)|||
Dubois|Claude|||France|Paris (Ville)||1710|Navarre|professeur d'humanités |1710|1732|||||||||Un Claude Du Bois de Courceriers reçoit un assit de discours latin et un 1er prix de discours grec au Plessis en seconde en 1695.Il a enseigné 22 ans.|||prêtre 1710||||||U253|U254|M3314|M3315
Dubois|Jean-Baptiste|||Picardie|||1776|Plessis|professeur de 6e|1776|1777|Plessis|professeur de 5e|1791|1791|||||Agrégé de grammaire, en poste depuis 1776. |||||||||H3 2563 (VI)|H/3/2754/A-B|MSJF 469|
Dubois|||||||1790|Montaigu|professeur de physique|1790|1791|||||||||Professeur depuis sept mois en 1791.|||||||||H/3/2563 (VI)|||
Dubuisson (Du Buisson)|Alexandre|||Normandie|||1713|Lisieux|professeur d'humanités|1713|1713||professeur de grammaire|1719|1725||||||bachelier en théologie||||||||REG 10|H/3/*/2597||
Duclos|Étienne|||France|Paris||1678|Navarre|professeur|1678|1692|||||||||Vivant mais retiré en 1717. Il a enseigné en tout 15 ans.|bachelier en théologie||||||||U253|M3313|M3314|
Ducroq|||1754||||1748|Plessis|principal|1748|1754||||||||||||||||||Compère|||
Dufour|Georges|||Normandie|||1682|Harcourt|professeur d'humanités|1682|1682|Harcourt|professeur de rhétorique|1691|1691|||||||||||||18 odes diverses dédicacées.|REG 10|||
Duhamel|Antoine Jacques Quentin||1717|France|Paris (Ville)||1741||||||||||||||bachelier en théologie|docteur en théologie (1757)|acolyte||||||M3315|U37||
Duhamel|Hyacinthe|||France|Paris||1674|Bourgogne|professeur de philosophie|1674|1674||||||||||bachelier en théologie||||||||M3313|||
Duhamel|Jean|||Normandie|Bayeux||1705|Grassins|professeur de philosophie|1705|1709|Grassins|professeur de rhétorique|1712|1714|||||||||||||Quatorze titres (odes, controverse, édition humaniste)|REG 10|||
Duhamel|Jean Baptiste|||Normandie|Bayeux||1671|Plessis|professeur de philosophie|1671|1688|||||||||Socius de la Sorbonne.|licencié en théologie||prêtre|chanoine de Notre-Dame en 1707 puis curé de la Madeleine en 1713|||procureur1671-1672, Doyen 1712||REG 10|||
Duhan|Charles||||||1694|La Marche|professeur|||||||||||"""Autrefois"" professeur à La Marche en 1694."|||||||||M3314|||
Duhan|Laurent|||France|Chartres (Ville)||1691|Plessis|professeur de philosophie|1691|1694|||||||||Professeur émérite retiré du Plessis en 1717 où il a enseigné vingt-six ans.|bachelier en théologie|licencié en théologie|||||censeur 1706 ET 1708 ET 1710; procureur 1708||U253|M3314|REG83|Jourdain p. 269
Duhesnoy|||||||1742|Mazarin|sous maître|1742|1743||||||||||||||||||H/3/2832|||
Dumas|Esprit-Alexis|1732||France|Orange (Ville)||1755|||||||||||||En 1775 aucune ancienne fonction enseignante n’est indiquée.|bachelier en théologie||sous-diacre||||||M3316|U25 ||
Dumas De Culture|Jean Urbain Florentin Hilaire|||France|Mende (Ville)||1739|||||||||||||Inspecteur de Mazarin 1759-1763|bachelier en théologie|docteur en théologie|||||||M3315|||
